Exercise,Options,Answer
A single ______ to Rio please.,"ticket, tickets",ticket
The round-______ is the same price as the single ticket.,"trip, trips",trip
The round-trip is the same ______ as the single ticket.,"price, prices",price
The round-trip is the same price as the single ______.,"ticket, tickets",ticket
He packed without saying a ______.,"word, words",word
"Take a ______, it will be more practical.","backpack, backpacks",backpack
The ______ sank next to the shore.,"submarine, submarines",submarine
The submarine sank next to the ______.,"shore, shores",shore
You have to show your ______ every time.,"passport, passports",passport
You have to show your passport every ______.,"time, times",time
Your ______ is at the back of the bus.,"seat, seats",seat
Your seat is at the ______ of the bus.,"back, backs",back
Your seat is at the back of the ______.,"bus, buses",bus
______ seat or aisle?,"Window, Windows",Window
Window ______ or aisle?,"seat, seats",seat
Window seat or ______?,"aisle, aisles",aisle
The ______ is late again.,"train, trains",train
Hurry up if you want to be on ______ for your meeting.,"time, times",time
Hurry up if you want to be on time for your ______.,"meeting, meetings",meeting
I would rather arrive in ______ to be safe.,"advance, advances",advance
I am waiting for the ______ car.,"trolley, trolleys",trolley
I am waiting for the trolley ______.,"car, cars",car
The sleeper ______ was not very confortable.,"car, cars",car
The ______-balloon crashed into the sea a short time after leaving the ground.,"air, airs",air
The air-______ crashed into the sea a short time after leaving the ground.,"balloon, balloons",balloon
The air-balloon crashed into the ______ a short time after leaving the ground.,"sea, seas",sea
Every ______ station of the area is dry.,"petrol, petrols",petrol
Every petrol ______ of the area is dry.,"station, stations",station
Every petrol station of the ______ is dry.,"area, areas",area
There is a ______ which goes to the airport.,"shuttle, shuttles",shuttle
There is a shuttle which goes to the ______.,"airport, airports",airport
______ are cancelled today because of the bad weather.,"Flights, Flightss",Flights
Flights are cancelled ______ because of the bad weather.,"today, todays",today
Flights are cancelled today because of the bad ______.,"weather, weathers",weather
The ______ will take off tomorrow.,"skyrocket, skyrockets",skyrocket
The skyrocket will take off ______.,"tomorrow, tomorrows",tomorrow
I am in the last ______.,"coach, coaches",coach
The ______ drop anchor in a bay.,"ship, ships",ship
The ship ______ anchor in a bay.,"drop, drops",drop
The ship drop ______ in a bay.,"anchor, anchors",anchor
The ______ are not comfortable.,"cabins, cabin",cabins
The ______ is surely caused by an ignition problem.,"breakdown, breakdowns",breakdown
The breakdown is surely caused by an ______ problem.,"ignition, ignitions",ignition
The breakdown is surely caused by an ignition ______.,"problem, problems",problem
"______, you have to replace the bumper now.","Congratulations, Congratulationss",Congratulations
"Congratulations, you have to replace the ______ now.","bumper, bumpers",bumper
The ______ is empty.,"tank, tanks",tank
Stop pressing on the ______.,"gas, gases",gas
The ______ plate is unreadable.,"license, licenses",license
The license ______ is unreadable.,"plate, plates",plate
The locomotive ______ at full speed.,"flies, fly",flies
The locomotive flies at full ______.,"speed, speeds",speed
Every ______ of this coach is full.,"compartment, compartments",compartment
Every compartment of this ______ is full.,"coach, coaches",coach
The ______ are setting tracks.,"workers, worker",workers
The workers are setting ______.,"tracks, track",tracks
The ______ are no longer responding.,"fins, fin",fins
I am travelling in the ______ class because I am poor.,"economy, economies",economy
I am travelling in the economy ______ because I am poor.,"class, classes",class
One first ______ ticket please.,"class, classes",class
One first class ______ please.,"ticket, tickets",ticket
One first class ticket ______.,"please, pleases",please
Second ______ is quite comfortable.,"class, classes",class
"This ______ of luggage is too big, we have to put it in the hold.","piece, pieces",piece
"This piece of ______ is too big, we have to put it in the hold.","luggage, luggages",luggage
"This piece of luggage is too big, we have to put it in the ______.","hold, holds",hold
"Your ______ baggage is too voluminous, it will not fit in the compartment.","hand, hands",hand
"Your hand ______ is too voluminous, it will not fit in the compartment.","baggage, baggages",baggage
"Your hand baggage is too voluminous, it will not fit in the ______.","compartment, compartments",compartment
"Because of the ______ of my first flight, I have missed my connection.","delay, delays",delay
"Because of the delay of my first ______, I have missed my connection.","flight, flights",flight
"Because of the delay of my first flight, I have missed my ______.","connection, connections",connection
You can observe the entire ______ from the control tower.,"sky, skies",sky
You can observe the entire sky from the ______ tower.,"control, controls",control
You can observe the entire sky from the control ______.,"tower, towers",tower
Domestic ______ are leaving from a special airport.,"flights, flight",flights
Domestic flights are leaving from a special ______.,"airport, airports",airport
It is the ______ of the international flights.,"terminal, terminals",terminal
It is the terminal of the international ______.,"flights, flight",flights
What is our ______ number?,"flight, flights",flight
What is our flight ______?,"number, numbers",number
______ has begun.,"Boarding, Boardings",Boarding
We are entering a ______ zone.,"turbulence, turbulences",turbulence
We are entering a turbulence ______.,"zone, zones",zone
Turn the ______ whell to the left.,"steering, steerings",steering
Turn the steering ______ to the left.,"whell, whells",whell
